Country,Cholesterol,BMI25,BMI30,MalignantTumor,DiabetesMellitus,CardiovascularDiseases,BloodPressure
Afghanistan,4.0 [1.7-8.1],19.1 [15.5-23.3],4.3 [2.6-6.4],19290.0,6523.0,49050.0,23.0 [17.0-29.8]
Albania,12.0 [5.9-21.1],58.0 [53.2-62.5],21.7 [17.0-26.6],5057.0,168.0,14897.0,31.6 [24.7-39.0]
Algeria,8.6 [4.7-14.5],59.5 [55.1-64.0],25.7 [21.0-30.8],24312.0,8113.0,67022.0,21.7 [16.4-27.7]
Andorra,25.5 [14.2-39.9],67.7 [63.0-72.2],27.7 [21.8-33.5],,,,24.5 [18.0-31.4]
Angola,6.6 [2.4-14.6],23.3 [18.6-28.3],6.5 [4.0-9.8],8209.0,2305.0,22100.0,22.3 [15.9-29.9]
Antigua and Barbuda,11.1 [4.6-21.4],47.7 [42.0-53.5],18.6 [13.6-24.0],126.0,48.0,205.0,24.2 [17.3-32.2]
Argentina,14.6 [6.8-26.7],62.8 [58.4-67.0],28.0 [23.4-32.9],64712.0,9502.0,92416.0,24.2 [18.4-30.7]
Armenia,10.1 [4.2-20.0],54.9 [50.0-59.5],20.2 [15.8-24.9],7942.0,1115.0,12005.0,27.4 [20.4-35.0]
Australia,16.1 [10.0-23.8],66.6 [63.2-69.9],29.8 [26.1-33.5],45885.0,4714.0,44931.0,18.9 [14.6-23.7]
Austria,19.4 [10.1-31.7],57.6 [53.1-61.8],21.5 [17.2-26.0],21070.0,3568.0,35263.0,27.4 [21.1-34.4]
Azerbaijan,7.8 [3.2-15.6],52.5 [47.3-57.5],19.2 [14.8-23.9],9935.0,1448.0,31803.0,23.0 [16.8-30.5]
Bahamas,15.4 [7.0-27.0],64.5 [59.5-69.4],31.5 [25.6-37.6],506.0,116.0,702.0,21.2 [15.3-28.3]
Bahrain,15.8 [7.9-27.1],63.6 [58.8-68.3],28.1 [23.0-33.3],431.0,404.0,763.0,16.3 [11.3-22.3]
Bangladesh,5.0 [2.1-10.3],18.3 [15.2-21.8],3.1 [2.1-4.4],96565.0,26951.0,250571.0,20.9 [15.8-26.4]
Barbados,10.9 [4.7-20.7],54.5 [49.1-59.9],24.1 [19.4-29.3],721.0,281.0,927.0,27.9 [20.9-35.6]
Belarus,15.3 [6.2-28.5],62.3 [57.3-67.2],26.1 [20.8-31.6],18630.0,411.0,76079.0,31.8 [24.3-39.5]
Belgium,21.6 [11.4-35.2],63.7 [60.0-67.3],24.1 [20.6-27.8],28810.0,1606.0,31670.0,23.5 [18.0-30.1]
Belize,7.5 [3.2-14.6],50.9 [45.7-56.2],21.8 [17.0-27.0],279.0,157.0,502.0,18.3 [12.9-24.6]
Benin,3.5 [2.2-5.3],25.7 [22.0-29.6],7.9 [5.8-10.3],3786.0,1455.0,13006.0,21.4 [16.2-27.1]
