Calories,Cholesterol_mg,Dietaryfiber_g,Fat_g,Protein_g,Sodium_mg,Totalcarbs_g,Cuisine,Reviews
408.0,98.0,4.9,18.6,40.1,719.0,22.0,Italian,0.0
460.0,105.0,3.0,28.0,36.0,520.0,16.0,Italian,0.0
165.0,13.0,0.1,17.4,1.2,149.0,1.6,American,20.0
165.0,13.0,0.1,17.4,1.2,149.0,1.6,American,0.0
165.0,13.0,0.1,17.4,1.2,149.0,1.6,Greek,2.0
165.0,13.0,0.1,17.4,1.2,149.0,1.6,Greek,0.0
250.7,30.2,0.0,21.7,4.1,639.3,10.9,American,20.0
250.7,30.2,0.0,21.7,4.1,639.3,10.9,American,0.0
250.7,30.2,0.0,21.7,4.1,639.3,10.9,Greek,2.0
250.7,30.2,0.0,21.7,4.1,639.3,10.9,Greek,0.0
580.0,120.0,,43.0,35.0,2020.0,12.0,American,20.0
580.0,120.0,,43.0,35.0,2020.0,12.0,American,0.0
580.0,120.0,,43.0,35.0,2020.0,12.0,Greek,2.0
580.0,120.0,,43.0,35.0,2020.0,12.0,Greek,0.0
80.0,5.0,1.0,7.0,2.0,450.0,2.0,American,20.0
80.0,5.0,1.0,7.0,2.0,450.0,2.0,American,0.0
80.0,5.0,1.0,7.0,2.0,450.0,2.0,Greek,2.0
80.0,5.0,1.0,7.0,2.0,450.0,2.0,Greek,0.0
508.0,163.0,3.1,44.5,8.9,130.0,21.7,Greek,0.0
60.0,5.0,1.0,1.5,2.0,10.0,10.0,Greek,0.0
156.0,49.0,0.6,6.1,3.3,130.0,21.8,Italian,0.0
80.0,25.0,0.0,3.0,2.0,70.0,11.0,Italian,0.0
130.0,,2.5,4.3,3.0,705.0,21.5,Chinese,1.0
130.0,,2.5,4.3,3.0,705.0,21.5,Chinese,0.0
100.0,0.0,0.0,4.0,1.0,640.0,15.0,Chinese,1.0
100.0,0.0,0.0,4.0,1.0,640.0,15.0,Chinese,0.0
30.0,,3.0,1.5,1.0,260.0,4.0,Chinese,1.0
30.0,,3.0,1.5,1.0,260.0,4.0,Chinese,0.0
80.0,15.0,4.0,7.0,1.0,160.0,5.0,Chinese,1.0
80.0,15.0,4.0,7.0,1.0,160.0,5.0,Chinese,0.0
215.0,24.0,1.6,9.3,1.0,100.0,33.3,American,22.0
215.0,24.0,1.6,9.3,1.0,100.0,33.3,American,0.0
190.0,25.0,2.0,9.0,1.0,100.0,26.0,American,22.0
190.0,25.0,2.0,9.0,1.0,100.0,26.0,American,0.0
230.0,15.0,5.0,6.0,3.0,680.0,42.0,American,22.0
230.0,15.0,5.0,6.0,3.0,680.0,42.0,American,0.0
163.0,113.0,2.4,5.2,8.2,437.0,20.2,French,0.0
90.0,60.0,0.0,4.5,2.0,60.0,11.0,French,0.0
45.0,40.0,0.0,2.0,2.0,150.0,4.0,French,0.0
180.0,115.0,3.0,6.0,10.0,420.0,22.0,French,0.0
300.0,245.0,4.0,19.0,10.0,350.0,25.0,French,0.0
258.0,38.0,1.7,14.8,7.8,983.0,23.1,American,382.0
258.0,38.0,1.7,14.8,7.8,983.0,23.1,Japanese,2.0
258.0,38.0,1.7,14.8,7.8,983.0,23.1,Japanese,0.0
258.0,38.0,1.7,14.8,7.8,983.0,23.1,American,0.0
258.0,38.0,1.7,14.8,7.8,983.0,23.1,French,1.0
368.6,115.8,2.0,28.7,11.6,1068.0,17.8,American,382.0
368.6,115.8,2.0,28.7,11.6,1068.0,17.8,Japanese,2.0
368.6,115.8,2.0,28.7,11.6,1068.0,17.8,Japanese,0.0
368.6,115.8,2.0,28.7,11.6,1068.0,17.8,American,0.0
368.6,115.8,2.0,28.7,11.6,1068.0,17.8,French,1.0
370.0,80.0,2.0,27.0,18.0,490.0,16.0,American,382.0
370.0,80.0,2.0,27.0,18.0,490.0,16.0,Japanese,2.0
370.0,80.0,2.0,27.0,18.0,490.0,16.0,Japanese,0.0
370.0,80.0,2.0,27.0,18.0,490.0,16.0,American,0.0
370.0,80.0,2.0,27.0,18.0,490.0,16.0,French,1.0
450.0,80.0,5.0,29.0,19.0,1160.0,30.0,American,382.0
450.0,80.0,5.0,29.0,19.0,1160.0,30.0,Japanese,2.0
450.0,80.0,5.0,29.0,19.0,1160.0,30.0,Japanese,0.0
450.0,80.0,5.0,29.0,19.0,1160.0,30.0,American,0.0
450.0,80.0,5.0,29.0,19.0,1160.0,30.0,French,1.0
220.0,25.0,1.0,13.0,6.0,610.0,19.0,American,382.0
220.0,25.0,1.0,13.0,6.0,610.0,19.0,Japanese,2.0
220.0,25.0,1.0,13.0,6.0,610.0,19.0,Japanese,0.0
220.0,25.0,1.0,13.0,6.0,610.0,19.0,American,0.0
220.0,25.0,1.0,13.0,6.0,610.0,19.0,French,1.0
320.0,95.0,1.0,26.0,7.0,700.0,17.0,American,382.0
320.0,95.0,1.0,26.0,7.0,700.0,17.0,Japanese,2.0
320.0,95.0,1.0,26.0,7.0,700.0,17.0,Japanese,0.0
320.0,95.0,1.0,26.0,7.0,700.0,17.0,American,0.0
320.0,95.0,1.0,26.0,7.0,700.0,17.0,French,1.0
210.0,5.0,1.0,5.0,9.0,290.0,32.0,American,382.0
210.0,5.0,1.0,5.0,9.0,290.0,32.0,Japanese,2.0
210.0,5.0,1.0,5.0,9.0,290.0,32.0,Japanese,0.0
210.0,5.0,1.0,5.0,9.0,290.0,32.0,American,0.0
210.0,5.0,1.0,5.0,9.0,290.0,32.0,French,1.0
130.0,10.0,2.0,8.0,4.0,350.0,13.0,American,382.0
130.0,10.0,2.0,8.0,4.0,350.0,13.0,Japanese,2.0
130.0,10.0,2.0,8.0,4.0,350.0,13.0,Japanese,0.0
130.0,10.0,2.0,8.0,4.0,350.0,13.0,American,0.0
130.0,10.0,2.0,8.0,4.0,350.0,13.0,French,1.0
248.0,3.0,6.8,0.8,6.8,542.0,54.9,American,28.0
248.0,3.0,6.8,0.8,6.8,542.0,54.9,American,0.0
248.0,3.0,6.8,0.8,6.8,542.0,54.9,American,4.0
248.0,3.0,6.8,0.8,6.8,542.0,54.9,American,1.0
220.0,25.0,4.0,15.0,5.0,190.0,17.0,American,28.0
220.0,25.0,4.0,15.0,5.0,190.0,17.0,American,0.0
220.0,25.0,4.0,15.0,5.0,190.0,17.0,American,4.0
220.0,25.0,4.0,15.0,5.0,190.0,17.0,American,1.0
440.0,105.0,7.0,33.0,8.0,170.0,30.0,American,28.0
440.0,105.0,7.0,33.0,8.0,170.0,30.0,American,0.0
440.0,105.0,7.0,33.0,8.0,170.0,30.0,American,4.0
440.0,105.0,7.0,33.0,8.0,170.0,30.0,American,1.0
140.0,,4.0,1.5,6.0,50.0,30.0,American,28.0
140.0,,4.0,1.5,6.0,50.0,30.0,American,0.0
140.0,,4.0,1.5,6.0,50.0,30.0,American,4.0
140.0,,4.0,1.5,6.0,50.0,30.0,American,1.0
330.0,35.0,2.0,13.0,8.0,230.0,47.0,American,28.0
330.0,35.0,2.0,13.0,8.0,230.0,47.0,American,0.0
330.0,35.0,2.0,13.0,8.0,230.0,47.0,American,4.0
330.0,35.0,2.0,13.0,8.0,230.0,47.0,American,1.0
170.0,10.0,3.0,4.0,4.0,320.0,29.0,American,28.0
170.0,10.0,3.0,4.0,4.0,320.0,29.0,American,0.0
170.0,10.0,3.0,4.0,4.0,320.0,29.0,American,4.0
170.0,10.0,3.0,4.0,4.0,320.0,29.0,American,1.0
220.0,,5.0,14.0,5.0,210.0,20.0,American,28.0
220.0,,5.0,14.0,5.0,210.0,20.0,American,0.0
220.0,,5.0,14.0,5.0,210.0,20.0,American,4.0
220.0,,5.0,14.0,5.0,210.0,20.0,American,1.0
190.0,15.0,3.0,6.0,5.0,510.0,30.0,American,28.0
190.0,15.0,3.0,6.0,5.0,510.0,30.0,American,0.0
190.0,15.0,3.0,6.0,5.0,510.0,30.0,American,4.0
190.0,15.0,3.0,6.0,5.0,510.0,30.0,American,1.0
53.0,0.0,2.3,3.5,2.5,99.0,4.4,American,9.0
53.0,0.0,2.3,3.5,2.5,99.0,4.4,American,0.0
90.0,,3.0,7.0,3.0,200.0,7.0,American,9.0
90.0,,3.0,7.0,3.0,200.0,7.0,American,0.0
40.0,,2.0,2.0,2.0,80.0,4.0,American,9.0
40.0,,2.0,2.0,2.0,80.0,4.0,American,0.0
70.0,,2.0,3.5,2.0,140.0,8.0,American,9.0
70.0,,2.0,3.5,2.0,140.0,8.0,American,0.0
70.0,,,2.0,16.0,360.0,3.0,American,9.0
70.0,,,2.0,16.0,360.0,3.0,American,0.0
87.0,0.0,1.3,0.1,0.3,,22.2,American,0.0
90.0,,1.0,0.0,0.0,0.0,22.0,American,0.0
399.0,15.0,3.4,28.5,4.7,711.0,32.4,Chinese,1.0
400.0,15.0,3.0,28.0,5.0,710.0,32.0,Chinese,1.0
219.0,53.0,1.1,4.6,4.8,132.0,39.9,Italian,0.0
110.0,25.0,1.0,2.0,2.0,65.0,20.0,Italian,0.0
490.0,102.0,2.0,30.1,25.5,1603.0,29.4,Latin,1.0
490.0,102.0,2.0,30.1,25.5,1603.0,29.4,Mexican,0.0
350.0,40.0,10.0,7.0,13.0,900.0,63.0,Latin,1.0
350.0,40.0,10.0,7.0,13.0,900.0,63.0,Mexican,0.0
191.0,32.0,0.8,8.5,2.5,122.0,27.5,American,1.0
570.0,115.0,2.0,35.0,7.0,400.0,62.0,American,1.0
227.0,0.0,0.8,13.1,3.2,469.0,24.1,Mexican,0.0
230.0,,1.0,13.0,3.0,480.0,24.0,Mexican,0.0
532.0,18.0,7.7,20.6,57.3,1396.0,38.2,American,16.0
532.0,18.0,7.7,20.6,57.3,1396.0,38.2,Mexican,6.0
400.3,124.7,5.2,19.8,27.8,1294.7,28.3,American,16.0
400.3,124.7,5.2,19.8,27.8,1294.7,28.3,Mexican,6.0
220.0,40.0,7.0,9.0,16.0,840.0,21.0,American,16.0
220.0,40.0,7.0,9.0,16.0,840.0,21.0,Mexican,6.0
441.0,43.0,8.0,16.0,18.0,801.0,59.5,European,7.0
90.0,0.0,1.2,0.6,3.8,186.0,17.8,Italian,0.0
60.0,,1.0,0.0,2.0,115.0,12.0,Italian,0.0
168.0,64.0,0.0,16.5,4.4,203.0,1.0,American,0.0
72.0,0.0,2.3,4.7,1.5,11.0,7.3,American,0.0
100.0,,3.0,2.5,2.0,220.0,17.0,American,0.0
80.0,,3.0,4.5,1.0,55.0,8.0,American,0.0
240.0,,6.0,14.0,3.0,960.0,27.0,American,0.0
260.0,,10.0,7.0,5.0,250.0,45.0,American,0.0
200.0,,8.0,5.0,4.0,160.0,37.0,American,0.0
110.0,,4.0,7.0,2.0,90.0,11.0,American,0.0
120.0,,4.0,7.0,3.0,310.0,15.0,American,0.0
270.0,,9.0,10.0,5.0,180.0,42.0,American,0.0
57.0,0.0,0.1,0.0,1.1,902.0,7.4,Japanese,13.0
57.0,0.0,0.1,0.0,1.1,902.0,7.4,Japanese,0.0
57.0,0.0,0.1,0.0,1.1,902.0,7.4,Japanese,1.0
133.4,0.0,0.4,0.0,4.0,2062.3,30.1,Japanese,13.0
133.4,0.0,0.4,0.0,4.0,2062.3,30.1,Japanese,0.0
133.4,0.0,0.4,0.0,4.0,2062.3,30.1,Japanese,1.0
130.0,,0.0,0.0,2.0,1800.0,30.0,Japanese,13.0
130.0,,0.0,0.0,2.0,1800.0,30.0,Japanese,0.0
130.0,,0.0,0.0,2.0,1800.0,30.0,Japanese,1.0
310.0,,1.0,2.5,4.0,3620.0,70.0,Japanese,13.0
310.0,,1.0,2.5,4.0,3620.0,70.0,Japanese,0.0
310.0,,1.0,2.5,4.0,3620.0,70.0,Japanese,1.0
200.0,,,5.0,22.0,3600.0,1.0,Japanese,13.0
200.0,,,5.0,22.0,3600.0,1.0,Japanese,0.0
200.0,,,5.0,22.0,3600.0,1.0,Japanese,1.0
100.0,,0.0,3.5,1.0,540.0,12.0,Japanese,13.0
100.0,,0.0,3.5,1.0,540.0,12.0,Japanese,0.0
100.0,,0.0,3.5,1.0,540.0,12.0,Japanese,1.0
190.0,,1.0,0.0,3.0,1800.0,34.0,Japanese,13.0
190.0,,1.0,0.0,3.0,1800.0,34.0,Japanese,0.0
190.0,,1.0,0.0,3.0,1800.0,34.0,Japanese,1.0
131.0,25.0,2.1,8.8,5.5,486.0,9.3,Greek,0.0
210.0,25.0,2.0,17.0,6.0,470.0,10.0,Greek,0.0
591.0,194.0,0.2,35.4,61.8,504.0,1.9,Chinese,0.0
578.9,187.5,0.1,39.9,48.2,1085.9,4.0,Chinese,0.0
431.0,29.0,2.7,16.6,11.3,1131.0,56.6,French,0.0
359.0,83.0,3.6,20.9,21.7,905.0,22.9,Japanese,0.0
359.0,83.0,3.6,20.9,21.7,905.0,22.9,Italian,7.0
130.0,25.0,1.0,8.0,8.0,280.0,6.0,Japanese,0.0
130.0,25.0,1.0,8.0,8.0,280.0,6.0,Italian,7.0
150.0,5.0,4.0,8.0,6.0,190.0,13.0,Japanese,0.0
150.0,5.0,4.0,8.0,6.0,190.0,13.0,Italian,7.0
700.0,161.0,4.9,12.1,67.7,1790.0,76.7,Asian,12.0
289.7,75.5,1.7,13.6,27.8,814.0,13.6,Asian,12.0
287.0,24.0,0.4,8.0,9.0,196.0,41.1,American,1.0
170.0,5.0,1.0,2.0,4.0,15.0,35.0,American,1.0
458.0,57.0,0.3,31.8,17.1,1760.0,24.8,American,0.0
458.0,57.0,0.3,31.8,17.1,1760.0,24.8,American,1.0
60.0,20.0,0.0,4.5,2.0,180.0,2.0,American,0.0
60.0,20.0,0.0,4.5,2.0,180.0,2.0,American,1.0
760.0,230.0,1.0,64.0,27.0,2610.0,18.0,American,0.0
760.0,230.0,1.0,64.0,27.0,2610.0,18.0,American,1.0
60.0,5.0,1.0,4.0,2.0,45.0,6.0,American,0.0
60.0,5.0,1.0,4.0,2.0,45.0,6.0,American,1.0
145.0,2.0,0.6,14.4,1.4,41.0,3.4,Italian,0.0
150.0,5.0,0.0,14.0,1.0,55.0,3.0,Italian,0.0
312.0,0.0,7.5,17.0,7.8,309.0,35.1,American,11.0
312.0,0.0,7.5,17.0,7.8,309.0,35.1,Mexican,0.0
312.0,0.0,7.5,17.0,7.8,309.0,35.1,Mexican,1.0
770.0,150.0,18.0,43.0,54.0,2240.0,47.0,American,11.0
770.0,150.0,18.0,43.0,54.0,2240.0,47.0,Mexican,0.0
770.0,150.0,18.0,43.0,54.0,2240.0,47.0,Mexican,1.0
480.0,,17.0,20.0,17.0,360.0,63.0,American,11.0
480.0,,17.0,20.0,17.0,360.0,63.0,Mexican,0.0
480.0,,17.0,20.0,17.0,360.0,63.0,Mexican,1.0
460.0,,19.0,14.0,19.0,420.0,68.0,American,11.0
460.0,,19.0,14.0,19.0,420.0,68.0,Mexican,0.0
460.0,,19.0,14.0,19.0,420.0,68.0,Mexican,1.0
342.0,34.0,0.0,15.0,9.0,98.0,43.6,Greek,0.0
220.0,25.0,,6.0,6.0,240.0,36.0,Greek,0.0
45.0,,0.1,4.7,0.4,29.0,0.5,American,0.0
940.0,15.0,4.0,95.0,9.0,970.0,18.0,American,0.0
115.0,,0.4,0.3,2.3,131.0,25.2,Mexican,2.0
200.0,,1.0,4.0,3.0,200.0,38.0,Mexican,2.0
11.0,0.0,0.2,0.2,0.9,677.0,1.7,Chinese,0.0
50.0,,1.0,0.5,3.0,2700.0,7.0,Chinese,0.0
226.0,28.0,0.7,10.3,1.8,84.0,32.1,American,3.0
559.0,71.0,3.7,48.4,22.3,1147.0,11.1,American,121.0
184.0,,0.1,18.6,0.1,81.0,4.1,Chinese,0.0
1440.0,0.0,0.0,149.0,1.0,270.0,25.0,Chinese,0.0
11.0,0.0,0.6,0.1,0.4,111.0,2.7,Mexican,0.0
142.1,0.0,7.3,1.2,6.4,623.0,31.7,Mexican,0.0
160.0,5.0,3.0,10.0,5.0,150.0,15.0,Mexican,0.0
150.0,5.0,7.0,1.5,8.0,940.0,29.0,Mexican,0.0
525.0,192.0,4.1,39.9,31.7,915.0,10.2,American,23.0
525.0,192.0,4.1,39.9,31.7,915.0,10.2,American,0.0
750.0,190.0,9.0,57.0,46.0,1440.0,18.0,American,23.0
750.0,190.0,9.0,57.0,46.0,1440.0,18.0,American,0.0
830.0,310.0,9.0,60.0,59.0,1020.0,16.0,American,23.0
830.0,310.0,9.0,60.0,59.0,1020.0,16.0,American,0.0
680.0,285.0,9.0,46.0,55.0,710.0,15.0,American,23.0
680.0,285.0,9.0,46.0,55.0,710.0,15.0,American,0.0
160.0,90.0,4.0,10.0,11.0,220.0,8.0,American,23.0
160.0,90.0,4.0,10.0,11.0,220.0,8.0,American,0.0
530.0,295.0,5.0,40.0,36.0,1110.0,10.0,American,23.0
530.0,295.0,5.0,40.0,36.0,1110.0,10.0,American,0.0
630.0,170.0,5.0,51.0,35.0,950.0,10.0,American,23.0
630.0,170.0,5.0,51.0,35.0,950.0,10.0,American,0.0
1595.0,215.0,22.1,83.7,79.8,2322.0,133.4,Mexican,3.0
1595.0,215.0,22.1,83.7,79.8,2322.0,133.4,Mexican,0.0
1030.0,110.0,2.0,92.0,36.0,570.0,18.0,Mexican,3.0
1030.0,110.0,2.0,92.0,36.0,570.0,18.0,Mexican,0.0
760.0,150.0,2.0,52.0,35.0,940.0,39.0,Mexican,3.0
760.0,150.0,2.0,52.0,35.0,940.0,39.0,Mexican,0.0
56.0,7.0,0.8,4.0,0.8,1237.0,4.7,Mexican,0.0
249.5,0.0,16.0,1.1,16.3,721.5,45.8,Mexican,0.0
190.0,15.0,7.0,7.0,10.0,960.0,23.0,Mexican,0.0
156.0,0.0,3.3,1.0,3.8,403.0,34.1,American,4.0
156.0,0.0,3.3,1.0,3.8,403.0,34.1,American,2.0
156.0,0.0,3.3,1.0,3.8,403.0,34.1,American,0.0
220.0,,5.0,7.0,5.0,210.0,36.0,American,4.0
220.0,,5.0,7.0,5.0,210.0,36.0,American,2.0
220.0,,5.0,7.0,5.0,210.0,36.0,American,0.0
160.0,,2.0,2.5,4.0,105.0,31.0,American,4.0
160.0,,2.0,2.5,4.0,105.0,31.0,American,2.0
160.0,,2.0,2.5,4.0,105.0,31.0,American,0.0
140.0,,1.0,7.0,2.0,800.0,19.0,American,4.0
140.0,,1.0,7.0,2.0,800.0,19.0,American,2.0
140.0,,1.0,7.0,2.0,800.0,19.0,American,0.0
130.0,,5.0,3.5,5.0,310.0,20.0,American,4.0
130.0,,5.0,3.5,5.0,310.0,20.0,American,2.0
130.0,,5.0,3.5,5.0,310.0,20.0,American,0.0
278.0,314.0,1.7,10.8,29.6,1349.0,15.7,Japanese,0.0
180.0,265.0,1.0,10.0,11.0,1310.0,12.0,Japanese,0.0
111.0,0.0,2.4,4.7,2.0,299.0,15.9,American,0.0
110.0,,2.0,5.0,3.0,80.0,15.0,American,0.0
559.0,163.0,1.8,61.7,1.3,437.0,3.7,Italian,0.0
550.0,165.0,1.0,61.0,1.0,440.0,3.0,Italian,0.0
1.0,0.0,0.2,0.0,0.1,,0.3,Greek,0.0
780.0,,0.0,0.0,0.0,0.0,0.0,Greek,0.0
690.0,,0.0,0.0,0.0,0.0,0.0,Greek,0.0
156.0,0.0,2.1,13.8,3.1,589.0,7.3,American,5.0
156.0,0.0,2.1,13.8,3.1,589.0,7.3,American,0.0
210.0,,1.0,18.0,2.0,15.0,9.0,American,5.0
210.0,,1.0,18.0,2.0,15.0,9.0,American,0.0
250.0,25.0,0.7,18.7,7.8,226.0,12.9,French,0.0
110.0,30.0,0.0,9.0,7.0,180.0,1.0,French,0.0
743.0,241.0,2.6,40.9,14.5,1051.0,83.6,Mexican,0.0
760.0,245.0,2.0,41.0,15.0,1070.0,85.0,Mexican,0.0
312.0,70.0,0.3,17.5,4.0,377.0,35.5,Greek,0.0
490.0,155.0,1.0,21.0,7.0,370.0,72.0,Greek,0.0
591.0,46.0,6.6,35.5,12.6,805.0,56.3,Italian,0.0
580.0,45.0,12.0,35.0,11.0,200.0,57.0,Italian,0.0
352.0,43.0,3.2,16.2,2.9,160.0,50.9,American,0.0
352.0,43.0,3.2,16.2,2.9,160.0,50.9,Greek,0.0
326.9,40.8,6.8,14.4,3.8,419.9,46.9,American,0.0
326.9,40.8,6.8,14.4,3.8,419.9,46.9,Greek,0.0
370.0,45.0,4.0,16.0,4.0,210.0,55.0,American,0.0
370.0,45.0,4.0,16.0,4.0,210.0,55.0,Greek,0.0
270.0,45.0,4.0,16.0,3.0,410.0,30.0,American,0.0
270.0,45.0,4.0,16.0,3.0,410.0,30.0,Greek,0.0
140.0,5.0,3.0,3.0,2.0,140.0,28.0,American,0.0
140.0,5.0,3.0,3.0,2.0,140.0,28.0,Greek,0.0
90.0,,3.0,0.0,1.0,35.0,22.0,American,0.0
90.0,,3.0,0.0,1.0,35.0,22.0,Greek,0.0
320.0,69.0,2.0,23.1,19.5,50.0,8.8,Indian,0.0
130.0,10.0,1.0,10.0,4.0,160.0,7.0,Indian,0.0
344.0,51.0,0.1,29.9,10.1,569.0,7.9,American,0.0
290.0,55.0,0.0,22.0,13.0,580.0,9.0,American,0.0
647.0,123.0,8.6,34.3,38.8,2852.0,45.8,Eastern,237.0
358.0,72.0,0.8,24.4,9.1,173.0,25.4,American,0.0
230.0,50.0,1.0,9.0,8.0,470.0,29.0,American,0.0
27.0,0.0,0.8,0.2,0.4,1311.0,6.7,American,2.0
20.0,,1.0,0.0,0.0,1330.0,4.0,American,2.0
436.0,182.0,2.9,12.6,27.5,479.0,51.0,European,13.0
291.0,187.0,0.4,18.8,17.0,804.0,12.9,American,117.0
123.0,55.0,0.8,2.7,4.8,263.0,19.4,French,3.0
123.0,55.0,0.8,2.7,4.8,263.0,19.4,French,20.0
110.0,55.0,1.0,2.5,5.0,230.0,17.0,French,3.0
110.0,55.0,1.0,2.5,5.0,230.0,17.0,French,20.0
