,Calories,Cholesterol,Fat,Protein,Sodium,Carbonhydrate
United States of America,350.1438253012048,80.72386797147122,18.190759767030954,15.015399750770642,529.0859790438769,33.12495718614148
France,441.9149607403253,146.51654423506866,23.66990046263844,15.647720877884074,589.7186711522288,41.31845112145577
Italy,463.3909186351706,97.88024298183534,23.75276028547439,21.824950120760263,790.6931465155332,40.889186914904805
Thailand,441.1886785584274,101.92605263157895,23.54910909090909,22.136981818181816,905.6424104708235,38.06971792538672
Mexico,379.712393302692,83.40374179431072,19.53453650533224,18.580948473908762,746.3141755537326,34.57772122804137
China,436.6394556658679,102.26282380858216,22.553422313483917,23.614185489390827,986.5791752224504,34.746635850025676
Greece,316.9890062597809,64.15229872168648,16.402633118782916,13.419976567076743,469.4216780487805,30.494094642158778
India,392.87936538835896,100.25376125471972,20.151040248881976,20.502723735408562,585.3383508362505,34.1743769470405
Spain,458.9512322628828,121.01998087954111,24.570266235381933,22.819138875062222,779.7098531973128,36.790034877927255
Japan,382.88071578947364,110.44618263473053,19.33700273626605,20.428427037271007,861.5848242475269,31.304534908247202
Latin,308.5375,85.93157894736842,16.093359375,13.623046875,579.155859375,29.865625
Middle,317.8152542372881,53.59468085106383,20.35,10.740833333333335,686.6075,23.739166666666666
