"","","","Raised total cholesterol (&gt;= 5.0 mmol/L) (age-standardized estimate)","Raised total cholesterol (&gt;= 5.0 mmol/L) (age-standardized estimate)","Raised total cholesterol (&gt;= 5.0 mmol/L) (age-standardized estimate)","Raised total cholesterol (&gt;= 5.0 mmol/L) (crude estimate)","Raised total cholesterol (&gt;= 5.0 mmol/L) (crude estimate)","Raised total cholesterol (&gt;= 5.0 mmol/L) (crude estimate)"
"Country","Year","Age Group"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Afghanistan"," 2008"," 25+ years","21.9 [11.0-36.5]","20.9 [7.5-40.1]","22.8 [7.6-46.1]","20.8 [10.7-34.2]","20.4 [7.5-38.9]","21.1 [7.4-41.8]"
"Albania"," 2008"," 25+ years","45.3 [29.8-61.0]","46.3 [25.2-68.0]","44.3 [21.6-67.2]","46.1 [30.3-61.9]","46.8 [25.5-68.8]","45.4 [22.3-68.4]"
"Algeria"," 2008"," 25+ years","39.4 [26.2-53.3]","37.3 [21.3-55.0]","41.4 [21.3-63.8]","38.5 [26.1-51.8]","36.6 [21.2-53.8]","40.5 [21.5-61.8]"
"Andorra"," 2008"," 25+ years","67.1 [52.0-79.8]","69.7 [48.8-86.1]","64.1 [40.7-81.9]","68.4 [53.3-81.1]","70.0 [48.8-86.4]","66.9 [43.2-84.0]"
"Angola"," 2008"," 25+ years","30.9 [15.2-50.0]","29.7 [10.7-56.2]","31.8 [10.3-60.1]","29.0 [14.5-46.9]","28.7 [10.5-54.2]","29.3 [10.1-56.1]"
"Antigua and Barbuda"," 2008"," 25+ years","43.0 [25.1-61.5]","40.4 [17.5-66.1]","45.4 [19.7-70.6]","43.0 [25.1-61.4]","40.3 [17.5-66.1]","45.5 [19.8-70.8]"
"Argentina"," 2008"," 25+ years","50.5 [33.2-67.9]","50.6 [26.0-74.8]","50.0 [25.0-74.1]","50.8 [33.2-68.2]","50.3 [25.8-74.5]","51.2 [25.3-75.2]"
"Armenia"," 2008"," 25+ years","40.8 [23.4-59.0]","39.6 [17.9-64.7]","41.5 [17.0-67.6]","41.8 [23.9-60.4]","39.8 [17.9-65.3]","43.3 [17.7-70.4]"
"Australia"," 2008"," 25+ years","55.2 [43.6-66.3]","54.8 [40.0-68.5]","55.3 [36.6-71.6]","57.4 [45.6-68.7]","55.9 [40.9-69.7]","58.9 [39.5-75.2]"
"Austria"," 2008"," 25+ years","59.7 [43.6-74.1]","61.3 [38.9-80.4]","57.7 [34.0-77.8]","62.2 [45.4-76.7]","62.8 [39.9-81.9]","61.6 [35.8-81.7]"
"Azerbaijan"," 2008"," 25+ years","34.8 [19.2-52.7]","33.1 [13.9-57.7]","36.0 [13.6-62.5]","34.4 [18.9-52.2]","33.1 [13.8-57.6]","35.5 [13.5-61.9]"
"Bahamas"," 2008"," 25+ years","51.8 [34.2-68.3]","49.3 [25.5-73.8]","53.7 [28.4-77.0]","51.2 [33.8-67.8]","49.2 [25.5-73.5]","53.1 [27.8-76.4]"
"Bahrain"," 2008"," 25+ years","53.4 [36.6-69.2]","52.5 [29.7-73.8]","54.2 [30.1-75.1]","51.4 [35.0-67.1]","51.9 [29.5-72.8]","50.5 [27.7-71.7]"
"Bangladesh"," 2008"," 25+ years","25.7 [13.4-41.9]","24.9 [9.6-47.5]","26.4 [9.1-51.6]","24.8 [13.1-40.1]","24.6 [9.6-46.3]","25.0 [9.0-48.8]"
"Barbados"," 2008"," 25+ years","42.8 [25.7-60.2]","39.5 [17.4-64.7]","45.1 [20.3-69.6]","43.7 [26.2-61.4]","40.2 [17.7-65.6]","46.8 [20.9-71.9]"
"Belarus"," 2008"," 25+ years","51.1 [31.3-69.5]","50.5 [24.9-76.3]","50.8 [22.9-76.2]","52.7 [32.1-71.1]","51.0 [25.1-76.9]","54.1 [23.8-79.4]"
