"","","","Raised total cholesterol (&amp;#8805, 6.2 mmol/L) (age-standardized estimate)","Raised total cholesterol (&amp;#8805, 6.2 mmol/L) (age-standardized estimate)","Raised total cholesterol (&amp;#8805, 6.2 mmol/L) (age-standardized estimate)","Raised total cholesterol (&amp;#8805, 6.2 mmol/L) (crude estimate)","Raised total cholesterol (&amp;#8805, 6.2 mmol/L) (crude estimate)","Raised total cholesterol (&amp;#8805, 6.2 mmol/L) (crude estimate)"
"Country","Year","Age Group"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Afghanistan"," 2008"," 25+ years","4.0 [1.7-8.1]","3.5 [1.0-8.3]","4.5 [1.2-11.6]","3.6 [1.6-7.1]","3.3 [0.9-7.7]","4.0 [1.2-9.8]"
"Albania"," 2008"," 25+ years","12.0 [5.9-21.1]","11.3 [4.2-23.5]","12.6 [4.0-27.4]","12.4 [6.0-21.8]","11.5 [4.2-24.1]","13.1 [4.2-28.5]"
"Algeria"," 2008"," 25+ years","8.6 [4.7-14.5]","7.6 [3.3-14.4]","9.6 [3.7-20.0]","8.2 [4.6-13.5]","7.3 [3.2-13.7]","9.1 [3.7-18.5]"
"Andorra"," 2008"," 25+ years","25.5 [14.2-39.9]","26.7 [11.3-48.5]","24.1 [9.3-43.3]","27.0 [15.0-42.3]","27.1 [11.4-49.3]","27.0 [10.0-47.9]"
"Angola"," 2008"," 25+ years","6.6 [2.4-14.6]","5.8 [1.4-15.3]","7.3 [1.7-19.6]","5.9 [2.3-12.4]","5.4 [1.4-14.0]","6.3 [1.6-16.6]"
"Antigua and Barbuda"," 2008"," 25+ years","11.1 [4.6-21.4]","9.3 [2.6-22.1]","12.7 [3.5-29.3]","11.1 [4.6-21.3]","9.2 [2.6-22.0]","12.8 [3.5-29.2]"
"Argentina"," 2008"," 25+ years","14.6 [6.8-26.7]","13.8 [4.3-30.8]","15.1 [4.7-33.3]","14.9 [6.8-27.3]","13.6 [4.3-30.4]","16.1 [4.8-35.4]"
"Armenia"," 2008"," 25+ years","10.1 [4.2-20.0]","8.9 [2.7-21.0]","11.0 [3.0-26.8]","10.6 [4.3-21.2]","9.0 [2.7-21.4]","11.9 [3.1-29.3]"
"Australia"," 2008"," 25+ years","16.1 [10.0-23.8]","14.8 [8.0-23.9]","17.3 [7.9-30.0]","17.6 [10.9-26.2]","15.5 [8.3-25.0]","19.7 [8.9-34.2]"
"Austria"," 2008"," 25+ years","19.4 [10.1-31.7]","19.6 [7.6-38.2]","18.9 [6.8-37.2]","21.4 [10.8-35.2]","20.7 [7.9-40.4]","22.0 [7.5-43.3]"
"Azerbaijan"," 2008"," 25+ years","7.8 [3.2-15.6]","6.7 [2.0-16.1]","8.7 [2.3-21.7]","7.6 [3.2-15.1]","6.6 [1.9-16.0]","8.5 [2.3-21.1]"
